id,kand.sns,kand.ds,kand.sps,kand.sds,kand.srs,kand.bsj,kand.dss,glas.sns,glas.ds,glas.sps,glas.srs,glas.dss,glas.sds,glas.djb,glas.ost,lok.sns,lok.ds,lok.sds,lok.srs,lok.sps,lok.dss,lok.bsj
49,1-some,1-some,0-none,0-none,1-some,0-none,1-some,55.39,3.68,12.5,12.5,3.92,2.21,0.98,8.82,57.95,6.92,2.56,9.74,10.77,4.87,7.18
50,0-none,0-none,2-high,0-none,0-none,0-none,0-none,62.25,1.96,18.14,6.86,0.49,3.43,0.49,6.38,60.2,3.57,7.14,3.06,16.33,0.51,9.18
51,0-none,0-none,0-none,0-none,0-none,0-none,0-none,59.32,6.78,11.02,9.32,2.54,4.24,1.69,5.09,51.3,23.48,1.74,8.7,8.7,0.87,5.22
52,2-high,0-none,0-none,0-none,1-some,0-none,0-none,59.94,1.86,10.87,14.91,2.48,5.28,0.93,3.73,54.14,4.14,9.87,13.06,8.92,1.59,8.28
53,2-high,2-high,0-none,0-none,0-none,0-none,0-none,56.87,7.42,17.58,8.24,3.85,1.1,0.27,4.67,46.35,21.35,1.4,3.65,16.85,1.4,8.99
54,0-none,2-high,0-none,0-none,1-some,0-none,0-none,51.3,13.04,9.57,12.17,0,4.35,0,9.57,41.59,29.2,3.54,9.73,12.39,0.88,2.65
55,2-high,0-none,0-none,0-none,1-some,0-none,0-none,72.17,0.47,6.13,12.26,0.94,2.83,1.89,3.31,75.85,2.42,1.93,11.11,5.8,0.48,2.42
56,2-high,0-none,0-none,1-some,0-none,0-none,0-none,62.79,2.03,8.72,6.98,4.07,5.81,2.03,7.57,58.28,4.73,6.21,4.73,7.99,2.37,15.68
57,0-none,0-none,2-high,0-none,0-none,0-none,0-none,62.46,3.36,8.4,7,2.8,2.52,5.6,7.86,60.82,10.53,2.05,4.09,7.02,1.75,13.74
58,2-high,1-some,0-none,0-none,1-some,0-none,0-none,59.77,5.29,8.74,10.8,2.76,2.07,5.29,5.28,56.6,15.57,0.94,5.42,5.9,3.07,12.5
59,2-high,0-none,0-none,1-some,0-none,0-none,0-none,71.32,2.33,9.04,6.72,1.29,3.88,1.55,3.87,70.03,2.92,7.43,4.51,5.84,1.33,7.96
