upisani,rsns,rostali,rnisuglasali,age1849,age50plus,eduprim,edumiddle,eduhigher,compillit,complit,workemployed,workretired,workother,ethnicserbs,ethnicminother,lsns,lostali,lnisuglasali
30133,3418,12394,14321,20356,9777,17565,10360,2209,24244,5889,8628,4064,17440,1054,29079,2319,13533,14281
23933,10912,2744,10277,11918,12015,12422,9861,1650,19165,4768,12536,4832,6565,22636,1297,11088,2518,10327
68011,26740,11074,30197,34785,33226,19229,37523,11259,42349,25662,29332,18936,19744,66310,1701,23430,14430,30151
79431,31298,11339,36794,39787,39644,27924,39807,11700,53352,26079,37196,20363,21872,76010,3421,32085,10287,37059
16232,8177,1895,6160,7251,8981,9942,5280,1010,13359,2873,6320,4665,5247,15817,415,9402,572,6258
37693,15074,4202,18417,18457,19236,16697,17913,3083,29164,8529,12428,10255,15009,35720,1973,14698,4279,18716
20057,7248,1871,10938,9285,10772,12447,6133,1477,15467,4590,7712,6230,6115,18554,1503,7857,1209,10991
17458,9458,2502,5498,8581,8877,8064,7682,1712,13966,3492,4491,4585,8382,15595,1863,7086,4782,5590
15251,7213,1998,6040,7081,8170,8607,5879,765,13117,2134,6831,3780,4641,14672,579,6404,2856,5991
24444,13197,3993,7254,12442,12002,10717,11430,2296,18861,5583,11570,4862,8012,23398,1046,13035,4065,7344
161686,47119,31663,82904,85645,76041,22436,87961,51289,78060,83626,69268,47670,44749,149826,11860,46095,31935,83656
63701,13999,18681,31021,31293,32408,3993,25436,34272,23312,40389,27806,20194,15702,57174,6527,13068,19683,30950
72060,37816,8687,25557,39572,32488,26052,34879,11129,49984,22076,26707,18594,26759,66059,6001,42128,9435,20497
24731,12410,3314,9007,12006,12725,7829,13073,3829,17068,7663,8372,7514,8845,23792,939,12510,2818,9403
46636,18312,7818,20506,23736,22900,15699,23752,7186,29140,17496,17328,12765,16543,33701,12935,14739,11298,20599
22183,10076,2619,9488,12094,10089,9103,11738,1342,16362,5821,7466,4821,9896,18788,3395,6697,6003,9483
12461,5008,1061,6392,5131,7330,8657,3328,476,10650,1811,4379,4153,3929,11100,1361,5328,781,6352
11355,6907,975,3473,4454,6901,7374,3463,517,9752,1603,3897,4085,3373,8044,3311,7273,588,3494
162819,53372,25830,83617,88703,74116,28017,95884,38918,84665,78154,70254,45491,47074,143107,19712,52032,26002,84785
14900,5776,3256,5868,7318,7582,7539,6361,1000,11194,3706,5001,3855,6044,9233,5667,4440,4578,5882
13117,7907,1943,3267,6214,6903,6951,5491,675,11057,2060,3190,3989,5938,11808,1309,7660,2093,3364
106724,34645,19217,52862,54522,52202,31516,58436,16772,67616,39108,40907,31175,34642,79227,27497,29580,24127,53017
149813,40400,30976,78437,83673,66140,18109,80743,50960,65144,84669,67340,41341,41133,135330,14483,38641,33194,77978
